provider,company_id,created_at,device,indicator_id,affected_service,latitude,longitude,city_id,country_id,source,asn,provider_id,zip,city,state
t-mobile,20097,2026-02-20T00:08:13+00:00,desktop,981,5G Home Internet,36.0,-80.0,4471025.0,89,ip,22709.0,142248.0,27265,High Point,NC
t-mobile,20097,2026-02-20T00:10:09+00:00,mobile,981,5G Home Internet,42.24,-83.28,5011908.0,89,ip,7922.0,3.0,48180,Taylor,MI
t-mobile,20097,2026-02-20T00:11:43+00:00,desktop,981,5G Home Internet,36.07,-86.72,4644585.0,89,ip,21928.0,16.0,37211,Nashville,TN
t-mobile,20097,2026-02-20T00:12:22+00:00,mobile,981,5G Home Internet,42.6,-89.68,5263331.0,89,device,21928.0,119149.0,53566,Monroe,WI
t-mobile,20097,2026-02-20T00:14:07+00:00,mobile,9,Mobile Phone,29.29,-95.74,4685144.0,89,device,21928.0,16.0,77430,Damon,TX
t-mobile,20097,2026-02-20T00:14:26+00:00,mobile,14,No Signal,35.94,-84.07,4634946.0,89,ip,6461.0,24253.0,37923,Knoxville,TN
t-mobile,20097,2026-02-20T00:14:51+00:00,desktop,8,Mobile Internet,37.35,-121.97,5393015.0,89,ip,21928.0,119149.0,95051,Santa Clara,CA
t-mobile,20097,2026-02-20T00:15:31+00:00,tablet,10,Texting / SMS,37.48,-77.64,4772943.0,89,ip,7922.0,3.0,23114,Midlothian,VA
t-mobile,20097,2026-02-20T00:15:54+00:00,mobile,9,Mobile Phone,36.14,-115.2,5506956.0,89,ip,21928.0,119149.0,89102,Las Vegas,NV
t-mobile,20097,2026-02-20T00:16:14+00:00,mobile,8,Mobile Internet,41.72,-81.25,5166009.0,89,ip,29709.0,,44077,Painesville,OH
t-mobile,20097,2026-02-20T00:17:56+00:00,mobile,981,5G Home Internet,35.52,-97.19,4538346.0,89,device,6167.0,14.0,73045,Harrah,OK
t-mobile,20097,2026-02-20T00:18:05+00:00,desktop,981,5G Home Internet,38.95,-77.03,4140963.0,89,ip,21928.0,119149.0,20011,Washington,DC
t-mobile,20097,2026-02-20T00:18:27+00:00,mobile,6,Website,32.62,-97.15,4671240.0,89,ip,21928.0,119149.0,76001,Arlington,TX
t-mobile,20097,2026-02-20T00:18:58+00:00,mobile,9,Mobile Phone,47.67,-122.12,5808079.0,89,device,20055.0,83278.0,98052,Redmond,WA
t-mobile,20097,2026-02-20T00:19:22+00:00,mobile,981,5G Home Internet,39.9,-104.94,5419384.0,89,ip,21928.0,16.0,80233,Denver,CO
t-mobile,20097,2026-02-20T00:19:22+00:00,mobile,10,Texting / SMS,38.63,-90.2,4407066.0,89,ip,36183.0,118997.0,63103,Saint Louis,MO
t-mobile,20097,2026-02-20T00:22:50+00:00,mobile,981,5G Home Internet,30.25,-95.52,4682991.0,89,device,21928.0,119149.0,77384,Conroe,TX
t-mobile,20097,2026-02-20T00:22:51+00:00,desktop,916,Mobile App,34.01,-96.38,4535414.0,89,device,21928.0,119149.0,74701,Durant,OK
t-mobile,20097,2026-02-20T00:23:37+00:00,mobile,981,5G Home Internet,35.68,-101.4,5517469.0,89,device,54113.0,118997.0,79007,Borger,TX
t-mobile,20097,2026-02-20T00:24:00+00:00,mobile,8,Mobile Internet,39.85,-89.54,4248205.0,89,ip,7018.0,126652.0,62561,Riverton,IL
t-mobile,20097,2026-02-20T00:25:38+00:00,mobile,981,5G Home Internet,39.24,-119.59,5502732.0,89,device,20115.0,56904.0,89403,Dayton,NV
t-mobile,20097,2026-02-20T00:26:24+00:00,mobile,981,5G Home Internet,29.97,-90.09,4335045.0,89,ip,6167.0,14.0,70119,New Orleans,LA
t-mobile,20097,2026-02-20T00:27:27+00:00,mobile,981,5G Home Internet,40.76,-73.93,5145066.0,89,device,21928.0,16.0,11106,Astoria,NY
t-mobile,20097,2026-02-20T00:29:16+00:00,mobile,14,No Signal,33.18,-97.1,4685907.0,89,device,21928.0,16.0,76210,Denton,TX
t-mobile,20097,2026-02-20T00:30:01+00:00,desktop,981,5G Home Internet,30.67,-88.1,4076598.0,89,ip,21928.0,119149.0,36606,Mobile,AL
t-mobile,20097,2026-02-20T00:31:05+00:00,mobile,8,Mobile Internet,26.01,-81.63,4165565.0,89,device,21928.0,16.0,34114,Naples,FL
t-mobile,20097,2026-02-20T00:33:18+00:00,mobile,981,5G Home Internet,26.2,-98.11,4670074.0,89,device,6389.0,13.0,78516,Alamo,TX
t-mobile,20097,2026-02-20T00:33:18+00:00,desktop,9,Mobile Phone,34.22,-117.39,5391710.0,89,ip,6167.0,151547.0,92407,San Bernardino,CA
t-mobile,20097,2026-02-20T00:33:28+00:00,mobile,981,5G Home Internet,30.25,-81.76,4160021.0,89,device,6167.0,14.0,32210,Jacksonville,FL
t-mobile,20097,2026-02-20T00:33:38+00:00,mobile,14,No Signal,32.73,-96.62,4672059.0,89,ip,7018.0,126384.0,75180,Balch Springs,TX
t-mobile,20097,2026-02-20T00:34:17+00:00,mobile,981,5G Home Internet,41.87,-71.38,5223869.0,89,ip,21928.0,16.0,2860,Pawtucket,RI
t-mobile,20097,2026-02-20T00:38:01+00:00,mobile,981,5G Home Internet,32.82,-97.05,4691930.0,89,ip,21928.0,16.0,76155,Fort Worth,TX
t-mobile,20097,2026-02-20T00:38:41+00:00,mobile,981,5G Home Internet,42.88,-84.38,4998506.0,89,device,6167.0,14.0,48848,Laingsburg,MI
t-mobile,20097,2026-02-20T00:38:58+00:00,mobile,14,No Signal,42.7,-84.55,4998830.0,89,ip,7922.0,3.0,48910,Lansing,MI
t-mobile,20097,2026-02-20T00:39:28+00:00,mobile,981,5G Home Internet,37.92,-121.31,5399020.0,89,ip,21928.0,119149.0,95206,Stockton,CA
t-mobile,20097,2026-02-20T00:39:35+00:00,desktop,981,5G Home Internet,44.95,-93.38,5037649.0,89,ip,21928.0,119149.0,55426,Minneapolis,MN
t-mobile,20097,2026-02-20T00:39:52+00:00,mobile,981,5G Home Internet,21.28,-157.84,5856195.0,89,device,21928.0,16.0,96815,Honolulu,HI
t-mobile,20097,2026-02-20T00:40:31+00:00,mobile,981,5G Home Internet,42.36,-83.22,4990729.0,89,ip,21928.0,16.0,48228,Detroit,MI
t-mobile,20097,2026-02-20T00:41:02+00:00,mobile,981,5G Home Internet,35.24,-96.24,4555204.0,89,device,7018.0,13.0,74883,Wetumka,OK
t-mobile,20097,2026-02-20T00:42:13+00:00,mobile,8,Mobile Internet,32.7,-97.27,4691930.0,89,ip,21928.0,16.0,76119,Fort Worth,TX
t-mobile,20097,2026-02-20T00:42:21+00:00,mobile,981,5G Home Internet,33.97,-117.55,8096217.0,89,device,21928.0,16.0,91752,Mira Loma,CA
t-mobile,20097,2026-02-20T00:45:18+00:00,mobile,5,Total blackout,39.85,-86.27,4259418.0,89,ip,21928.0,16.0,46254,Indianapolis,IN
t-mobile,20097,2026-02-20T00:46:06+00:00,desktop,981,5G Home Internet,37.76,-122.19,5378538.0,89,ip,21928.0,119149.0,94621,Oakland,CA
t-mobile,20097,2026-02-20T00:50:33+00:00,desktop,14,No Signal,37.8,-86.55,4294044.0,89,device,21928.0,16.0,40143,Hardinsburg,KY
t-mobile,20097,2026-02-20T00:57:14+00:00,mobile,14,No Signal,39.24,-119.57,5502732.0,89,device,20115.0,38177.0,89403,Dayton,NV
t-mobile,20097,2026-02-20T01:01:21+00:00,mobile,9,Mobile Phone,34.09,-118.29,5368361.0,89,ip,7018.0,126384.0,90029,Los Angeles,CA
t-mobile,20097,2026-02-20T01:01:35+00:00,mobile,981,5G Home Internet,34.83,-82.35,4580543.0,89,ip,7018.0,13.0,29607,Greenville,SC
t-mobile,20097,2026-02-20T01:03:19+00:00,mobile,14,No Signal,30.41,-97.61,4718711.0,89,device,19108.0,83813.0,78660,Pflugerville,TX
t-mobile,20097,2026-02-20T01:04:27+00:00,mobile,981,5G Home Internet,34.09,-118.13,5323060.0,89,device,21928.0,119149.0,91801,Alhambra,CA
t-mobile,20097,2026-02-20T01:05:50+00:00,mobile,14,No Signal,39.82,-105.1,5412199.0,89,device,7922.0,3.0,80004,Arvada,CO
t-mobile,20097,2026-02-20T01:06:47+00:00,mobile,981,5G Home Internet,40.55,-105.11,5577147.0,89,ip,6167.0,14.0,80526,Fort Collins,CO
t-mobile,20097,2026-02-20T01:07:34+00:00,mobile,981,5G Home Internet,25.58,-80.52,4164138.0,89,device,21928.0,16.0,33187,Miami,FL
t-mobile,20097,2026-02-20T01:10:17+00:00,mobile,1867,T-Life App,41.74,-87.66,4887398.0,89,ip,21928.0,16.0,60620,Chicago,IL
t-mobile,20097,2026-02-20T01:10:39+00:00,mobile,981,5G Home Internet,42.92,-84.38,4998506.0,89,device,12083.0,30.0,48848,Laingsburg,MI
t-mobile,20097,2026-02-20T01:11:00+00:00,desktop,981,5G Home Internet,42.1,-80.09,5188843.0,89,ip,7341.0,11519.0,16508,Erie,PA
t-mobile,20097,2026-02-20T01:11:36+00:00,mobile,981,5G Home Internet,42.89,-84.35,4998506.0,89,device,398378.0,142303.0,48848,Laingsburg,MI
t-mobile,20097,2026-02-20T01:11:53+00:00,mobile,14,No Signal,29.57,-98.33,4707055.0,89,device,7018.0,13.0,78148,Universal City,TX
t-mobile,20097,2026-02-20T01:12:12+00:00,desktop,9,Mobile Phone,32.31,-106.8,5475352.0,89,device,21928.0,16.0,88005,Las Cruces,NM
t-mobile,20097,2026-02-20T01:13:15+00:00,mobile,1867,T-Life App,30.37,-83.18,7217579.0,89,device,7029.0,76.0,32060,Live Oak,FL
t-mobile,20097,2026-02-20T01:13:24+00:00,mobile,9,Mobile Phone,43.56,-116.55,5601933.0,89,device,54113.0,118997.0,83686,Nampa,ID
t-mobile,20097,2026-02-20T01:14:06+00:00,mobile,14,No Signal,42.85,-84.37,4998506.0,89,device,14593.0,115554.0,48848,Laingsburg,MI
t-mobile,20097,2026-02-20T01:15:02+00:00,tablet,14,No Signal,36.28,-116.0,5509851.0,89,device,21928.0,16.0,89060,Pahrump,NV
t-mobile,20097,2026-02-20T01:15:44+00:00,mobile,981,5G Home Internet,30.26,-98.05,4686903.0,89,device,21928.0,16.0,78620,Dripping Springs,TX
t-mobile,20097,2026-02-20T01:16:02+00:00,tablet,981,5G Home Internet,34.75,-79.49,4475347.0,89,device,21928.0,16.0,28352,Laurinburg,NC
t-mobile,20097,2026-02-20T01:16:35+00:00,mobile,981,5G Home Internet,29.85,-95.47,4699066.0,89,device,21928.0,16.0,77091,Houston,TX
t-mobile,20097,2026-02-20T01:17:43+00:00,mobile,7,TV Streaming,42.33,-83.05,4990729.0,89,ip,54113.0,118997.0,48226,Detroit,MI
t-mobile,20097,2026-02-20T01:18:28+00:00,mobile,981,5G Home Internet,33.52,-86.8,4049979.0,89,ip,54113.0,118997.0,35203,Birmingham,AL
t-mobile,20097,2026-02-20T01:18:50+00:00,mobile,981,5G Home Internet,29.98,-90.17,,89,ip,21928.0,16.0,70001,Metairie,LA
t-mobile,20097,2026-02-20T01:19:12+00:00,mobile,6,Website,39.76,-105.03,5419384.0,89,ip,209.0,17.0,80211,Denver,CO
t-mobile,20097,2026-02-20T01:19:38+00:00,desktop,981,5G Home Internet,39.69,-104.91,5419384.0,89,device,21928.0,119149.0,80224,Denver,CO
t-mobile,20097,2026-02-20T01:20:53+00:00,desktop,9,Mobile Phone,42.1,-87.92,4906882.0,89,device,13626.0,21.0,60070,Prospect Heights,IL
t-mobile,20097,2026-02-20T01:20:54+00:00,mobile,981,5G Home Internet,35.53,-97.19,4538346.0,89,device,21928.0,16.0,73045,Harrah,OK
t-mobile,20097,2026-02-20T01:22:55+00:00,desktop,981,5G Home Internet,43.05,-87.97,5263045.0,89,ip,21928.0,119149.0,53208,Milwaukee,WI
t-mobile,20097,2026-02-20T01:25:38+00:00,mobile,981,5G Home Internet,36.66,-87.44,7259770.0,89,device,54113.0,118997.0,42262,Oak Grove,KY
t-mobile,20097,2026-02-20T01:26:31+00:00,mobile,981,5G Home Internet,34.08,-117.41,5329408.0,89,device,21928.0,16.0,92335,Fontana,CA
t-mobile,20097,2026-02-20T01:26:48+00:00,mobile,981,5G Home Internet,41.97,-87.76,4887398.0,89,ip,21928.0,119149.0,60630,Chicago,IL
t-mobile,20097,2026-02-20T01:27:09+00:00,mobile,14,No Signal,37.58,-97.14,4278340.0,89,device,21928.0,16.0,67133,Rose Hill,KS
t-mobile,20097,2026-02-20T01:28:26+00:00,mobile,981,5G Home Internet,40.72,-74.09,5099836.0,89,device,21928.0,16.0,7304,Jersey City,NJ
t-mobile,20097,2026-02-20T01:28:48+00:00,desktop,9,Mobile Phone,42.59,-76.19,5113790.0,89,ip,11351.0,38177.0,13045,Cortland,NY
t-mobile,20097,2026-02-20T01:29:03+00:00,mobile,981,5G Home Internet,28.57,-82.38,4148986.0,89,device,21928.0,16.0,34601,Brooksville,FL
t-mobile,20097,2026-02-20T01:29:06+00:00,mobile,981,5G Home Internet,35.23,-96.24,4555204.0,89,device,5078.0,12769.0,74883,Wetumka,OK
t-mobile,20097,2026-02-20T01:29:28+00:00,mobile,14,No Signal,33.14,-97.04,4683317.0,89,device,62240.0,24535.0,76208,Denton,TX
t-mobile,20097,2026-02-20T01:29:40+00:00,mobile,8,Mobile Internet,41.79,-87.67,4887398.0,89,device,7922.0,3.0,60636,Chicago,IL
t-mobile,20097,2026-02-20T01:32:33+00:00,mobile,981,5G Home Internet,34.12,-117.39,5387288.0,89,ip,21928.0,16.0,92376,Rialto,CA
t-mobile,20097,2026-02-20T01:33:08+00:00,mobile,9,Mobile Phone,41.11,-74.02,5128266.0,89,device,36183.0,118997.0,10954,Nanuet,NY
t-mobile,20097,2026-02-20T01:33:17+00:00,mobile,9,Mobile Phone,29.36,-98.43,4726206.0,89,ip,21928.0,119149.0,78223,San Antonio,TX
t-mobile,20097,2026-02-20T01:34:17+00:00,mobile,981,5G Home Internet,38.63,-121.46,5389489.0,89,ip,21928.0,16.0,95838,Sacramento,CA
t-mobile,20097,2026-02-20T01:34:57+00:00,desktop,981,5G Home Internet,40.61,-73.99,5145066.0,89,device,7018.0,13.0,11204,Brooklyn,NY
t-mobile,20097,2026-02-20T01:35:22+00:00,mobile,981,5G Home Internet,28.96,-95.97,4829307.0,89,device,7018.0,126384.0,77414,Bay City,TX
t-mobile,20097,2026-02-20T01:38:33+00:00,mobile,8,Mobile Internet,29.52,-98.58,4726206.0,89,device,11427.0,38177.0,78229,San Antonio,TX
t-mobile,20097,2026-02-20T01:40:48+00:00,mobile,8,Mobile Internet,37.42,-80.79,4818024.0,89,device,21928.0,16.0,24963,Peterstown,WV
t-mobile,20097,2026-02-20T01:41:25+00:00,mobile,981,5G Home Internet,30.68,-88.06,4076598.0,89,ip,21928.0,16.0,36604,Mobile,AL
t-mobile,20097,2026-02-20T01:42:47+00:00,mobile,14,No Signal,45.13,-87.61,5001669.0,89,device,21928.0,16.0,49858,Menominee,MI
t-mobile,20097,2026-02-20T01:44:54+00:00,mobile,981,5G Home Internet,33.15,-97.06,5113723.0,89,device,21928.0,119149.0,76210,Denton,TX
t-mobile,20097,2026-02-20T01:46:08+00:00,mobile,8,Mobile Internet,30.29,-81.49,4160021.0,89,device,7018.0,126384.0,32246,Jacksonville,FL
t-mobile,20097,2026-02-20T01:46:49+00:00,desktop,981,5G Home Internet,39.85,-86.27,4259418.0,89,ip,21928.0,119149.0,46254,Indianapolis,IN
t-mobile,20097,2026-02-20T01:47:04+00:00,mobile,981,5G Home Internet,33.15,-97.04,4683317.0,89,device,23473.0,182.0,76208,Denton,TX
t-mobile,20097,2026-02-20T01:47:47+00:00,mobile,14,No Signal,40.83,-81.34,5149222.0,89,ip,10796.0,38177.0,44705,Canton,OH
t-mobile,20097,2026-02-20T01:49:12+00:00,tablet,981,5G Home Internet,36.2,-115.22,5506956.0,89,ip,21928.0,16.0,89108,Las Vegas,NV
t-mobile,20097,2026-02-20T01:50:53+00:00,mobile,8,Mobile Internet,41.57,-90.58,4853423.0,89,device,30600.0,38221.0,52806,Davenport,IA
t-mobile,20097,2026-02-20T01:55:21+00:00,mobile,981,5G Home Internet,30.77,-86.3,4152888.0,89,device,21928.0,16.0,32433,Defuniak Springs,FL
t-mobile,20097,2026-02-20T01:56:44+00:00,mobile,981,5G Home Internet,28.39,-81.49,4167147.0,89,device,33363.0,56904.0,32821,Orlando,FL
t-mobile,20097,2026-02-20T01:56:58+00:00,mobile,981,5G Home Internet,39.6,-78.85,4352681.0,89,ip,11776.0,126798.0,21502,Cumberland,MD
t-mobile,20097,2026-02-20T01:57:35+00:00,mobile,981,5G Home Internet,40.88,-74.59,5101264.0,89,device,7018.0,13.0,7803,Mine Hill,NJ
t-mobile,20097,2026-02-20T01:57:54+00:00,mobile,8,Mobile Internet,41.27,-87.37,4923041.0,89,device,21928.0,16.0,46356,Lowell,IN
t-mobile,20097,2026-02-20T01:58:11+00:00,desktop,9,Mobile Phone,32.07,-102.08,5526337.0,89,device,7018.0,126384.0,79705,Midland,TX
t-mobile,20097,2026-02-20T01:58:53+00:00,desktop,8,Mobile Internet,33.12,-97.03,4704482.0,89,ip,20115.0,38177.0,75065,Lake Dallas,TX
t-mobile,20097,2026-02-20T01:59:05+00:00,mobile,981,5G Home Internet,32.98,-80.19,4597919.0,89,ip,21928.0,16.0,29485,Summerville,SC
t-mobile,20097,2026-02-20T01:59:52+00:00,mobile,981,5G Home Internet,48.2,-122.13,5785868.0,89,device,21928.0,16.0,98223,Arlington,WA
t-mobile,20097,2026-02-20T02:00:47+00:00,desktop,8,Mobile Internet,34.13,-79.94,4598692.0,89,ip,21928.0,119149.0,29161,Timmonsville,SC
t-mobile,20097,2026-02-20T02:01:12+00:00,mobile,1867,T-Life App,25.85,-80.27,4158476.0,89,ip,54113.0,118997.0,33013,Hialeah,FL
t-mobile,20097,2026-02-20T02:02:14+00:00,desktop,14,No Signal,30.6,-88.23,4076598.0,89,device,212238.0,501.0,36619,Mobile,AL
t-mobile,20097,2026-02-20T02:02:37+00:00,mobile,8,Mobile Internet,39.77,-86.16,,89,ip,6167.0,14.0,46204,Indianapolis,IN
t-mobile,20097,2026-02-20T02:05:19+00:00,desktop,981,5G Home Internet,43.04,-87.91,,89,ip,6614.0,142254.0,53202,Milwaukee,WI
t-mobile,20097,2026-02-20T02:05:21+00:00,mobile,9,Mobile Phone,39.85,-89.54,4248205.0,89,ip,10971.0,384.0,62561,Riverton,IL
t-mobile,20097,2026-02-20T02:05:22+00:00,mobile,8,Mobile Internet,41.66,-91.52,4862034.0,89,ip,393238.0,84509.0,52240,Iowa City,IA
t-mobile,20097,2026-02-20T02:06:15+00:00,mobile,981,5G Home Internet,30.71,-88.08,4076598.0,89,device,6167.0,14.0,36617,Mobile,AL
t-mobile,20097,2026-02-20T02:07:14+00:00,mobile,981,5G Home Internet,33.31,-111.82,5289282.0,89,ip,21928.0,119149.0,85225,Chandler,AZ
t-mobile,20097,2026-02-20T02:09:23+00:00,mobile,981,5G Home Internet,33.14,-97.05,5113723.0,89,device,20057.0,13.0,76210,Denton,TX
t-mobile,20097,2026-02-20T02:09:48+00:00,mobile,8,Mobile Internet,33.41,-111.85,5304391.0,89,device,21928.0,119149.0,85210,Mesa,AZ
t-mobile,20097,2026-02-20T02:09:49+00:00,mobile,981,5G Home Internet,33.53,-112.11,5308655.0,89,device,21928.0,16.0,85015,Phoenix,AZ
t-mobile,20097,2026-02-20T02:11:08+00:00,desktop,981,5G Home Internet,44.97,-93.05,5045360.0,89,ip,21928.0,119149.0,55106,Saint Paul,MN
t-mobile,20097,2026-02-20T02:11:39+00:00,mobile,981,5G Home Internet,27.26,-82.47,4172131.0,89,device,21928.0,119149.0,34238,Sarasota,FL
t-mobile,20097,2026-02-20T02:12:27+00:00,mobile,981,5G Home Internet,38.48,-121.52,5389489.0,89,device,7018.0,126384.0,95831,Sacramento,CA
t-mobile,20097,2026-02-20T02:12:34+00:00,desktop,8,Mobile Internet,35.08,-106.64,5454711.0,89,ip,21928.0,16.0,87102,Albuquerque,NM
t-mobile,20097,2026-02-20T02:13:14+00:00,mobile,981,5G Home Internet,42.44,-88.14,4883393.0,89,device,21928.0,16.0,60002,Antioch,IL
t-mobile,20097,2026-02-20T02:13:24+00:00,mobile,981,5G Home Internet,40.68,-75.18,5102615.0,89,device,3737.0,59.0,8865,Phillipsburg,NJ
t-mobile,20097,2026-02-20T02:14:30+00:00,mobile,981,5G Home Internet,32.76,-96.58,4710826.0,89,device,7018.0,126384.0,75149,Mesquite,TX
t-mobile,20097,2026-02-20T02:14:32+00:00,mobile,981,5G Home Internet,42.37,-83.11,4990729.0,89,ip,21928.0,119149.0,48206,Detroit,MI
t-mobile,20097,2026-02-20T02:14:46+00:00,mobile,981,5G Home Internet,37.29,-93.43,4414816.0,89,device,21928.0,16.0,65781,Willard,MO
t-mobile,20097,2026-02-20T02:15:10+00:00,mobile,9,Mobile Phone,41.58,-83.7,5162137.0,89,device,13490.0,147979.0,43537,Maumee,OH
t-mobile,20097,2026-02-20T02:16:23+00:00,desktop,9,Mobile Phone,26.33,-98.19,4688275.0,89,device,11427.0,38177.0,78541,Edinburg,TX
t-mobile,20097,2026-02-20T02:16:56+00:00,mobile,981,5G Home Internet,43.41,-83.92,5007989.0,89,ip,6167.0,14.0,48601,Saginaw,MI
t-mobile,20097,2026-02-20T02:17:17+00:00,mobile,9,Mobile Phone,39.29,-84.53,4508722.0,89,ip,10796.0,38177.0,45240,Cincinnati,OH
t-mobile,20097,2026-02-20T02:19:26+00:00,mobile,981,5G Home Internet,32.45,-93.98,4326533.0,89,device,21928.0,16.0,71033,Greenwood,LA
t-mobile,20097,2026-02-20T02:22:21+00:00,mobile,5,Total blackout,33.14,-97.06,5113723.0,89,device,21928.0,16.0,76210,Denton,TX
t-mobile,20097,2026-02-20T02:23:11+00:00,mobile,981,5G Home Internet,25.95,-80.22,4164138.0,89,ip,21928.0,16.0,33169,Miami,FL
t-mobile,20097,2026-02-20T02:23:33+00:00,mobile,981,5G Home Internet,33.23,-97.09,4685907.0,89,device,15169.0,120954.0,76208,Denton,TX
t-mobile,20097,2026-02-20T02:24:45+00:00,mobile,5,Total blackout,33.14,-97.03,4704482.0,89,device,20115.0,38177.0,75065,Lake Dallas,TX
t-mobile,20097,2026-02-20T02:24:46+00:00,mobile,9,Mobile Phone,33.23,-97.18,4685907.0,89,ip,7459.0,220.0,76207,Denton,TX
t-mobile,20097,2026-02-20T02:27:13+00:00,mobile,8,Mobile Internet,35.47,-97.52,,89,ip,7018.0,13.0,73102,Oklahoma City,OK
t-mobile,20097,2026-02-20T02:30:00+00:00,mobile,981,5G Home Internet,29.84,-81.31,4170894.0,89,device,7018.0,13.0,32086,Saint Augustine,FL
t-mobile,20097,2026-02-20T02:30:29+00:00,desktop,981,5G Home Internet,28.59,-82.37,4148986.0,89,device,21928.0,16.0,34601,Brooksville,FL
t-mobile,20097,2026-02-20T02:30:44+00:00,mobile,981,5G Home Internet,39.21,-96.57,4274994.0,89,device,7018.0,13.0,66502,Manhattan,KS
t-mobile,20097,2026-02-20T02:31:02+00:00,mobile,5,Total blackout,33.14,-97.06,5113723.0,89,device,21928.0,16.0,76210,Denton,TX
t-mobile,20097,2026-02-20T02:31:48+00:00,mobile,8,Mobile Internet,33.83,-84.38,4180439.0,89,ip,7018.0,126652.0,30305,Atlanta,GA
t-mobile,20097,2026-02-20T02:33:32+00:00,mobile,9,Mobile Phone,29.04,-81.29,4152890.0,89,ip,33363.0,38177.0,32724,Deland,FL
t-mobile,20097,2026-02-20T02:34:38+00:00,mobile,981,5G Home Internet,40.42,-78.09,5194590.0,89,device,21928.0,16.0,16652,Huntingdon,PA
t-mobile,20097,2026-02-20T02:35:15+00:00,desktop,981,5G Home Internet,28.02,-82.7,4170797.0,89,device,21928.0,16.0,34695,Safety Harbor,FL
t-mobile,20097,2026-02-20T02:36:56+00:00,mobile,981,5G Home Internet,39.67,-105.02,5419384.0,89,device,21928.0,16.0,80219,Denver,CO
t-mobile,20097,2026-02-20T02:37:19+00:00,mobile,981,5G Home Internet,27.38,-82.56,4172131.0,89,device,21928.0,16.0,34234,Sarasota,FL
t-mobile,20097,2026-02-20T02:39:07+00:00,mobile,981,5G Home Internet,28.02,-82.46,4174757.0,89,ip,21928.0,16.0,33604,Tampa,FL
t-mobile,20097,2026-02-20T02:39:16+00:00,desktop,10,Texting / SMS,38.76,-77.61,4760363.0,89,device,701.0,12.0,20155,Gainesville,VA
t-mobile,20097,2026-02-20T02:40:01+00:00,mobile,981,5G Home Internet,29.5,-98.54,4726206.0,89,device,36183.0,118997.0,78213,San Antonio,TX
t-mobile,20097,2026-02-20T02:40:13+00:00,desktop,981,5G Home Internet,33.87,-84.07,4205724.0,89,ip,7018.0,126384.0,30047,Lilburn,GA
t-mobile,20097,2026-02-20T02:40:17+00:00,mobile,10,Texting / SMS,29.99,-95.34,4699066.0,89,device,21928.0,16.0,77032,Houston,TX
t-mobile,20097,2026-02-20T02:41:25+00:00,mobile,981,5G Home Internet,39.75,-75.55,4145381.0,89,device,39486.0,126439.0,19801,Wilmington,DE
t-mobile,20097,2026-02-20T02:42:52+00:00,desktop,981,5G Home Internet,39.74,-104.99,5419384.0,89,ip,21928.0,119149.0,80202,Denver,CO
t-mobile,20097,2026-02-20T02:44:26+00:00,desktop,981,5G Home Internet,38.23,-85.72,4299276.0,89,ip,21928.0,119149.0,40204,Louisville,KY
t-mobile,20097,2026-02-20T02:46:44+00:00,mobile,981,5G Home Internet,27.85,-82.38,4156748.0,89,ip,6167.0,14.0,33534,Gibsonton,FL
